restaurant_id,restaurant_name,city,opening_hours
1,Bombay Spice Hub,Mumbai,10:00-23:00
2,Delhi Zaika House,Delhi,09:00-23:30
3,Chennai Dosa Corner,Chennai,08:00-22:00
4,Bangalore Biriyani Co.,Bangalore,11:00-23:59
5,Hyderabad Grill Point,Hyderabad,10:00-23:00
6,Urban Eatery,Mumbai,09:00-22:00
7,Spice Villa,Delhi,10:00-23:00
8,Southern Tiffins,Chennai,07:00-21:00
9,Royal Curries,Hyderabad,10:30-23:30
10,Tandoor Treats,Delhi,09:00-23:00
11,Biryani Blues,Mumbai,11:00-23:00
12,Masala Junction,Bangalore,10:00-22:30
13,Crispy & Crunchy,Mumbai,10:00-22:00
14,Punjabi Zaika,Delhi,09:30-23:00
15,Madras Café,Chennai,08:00-22:00
16,Taste of Hyderabad,Hyderabad,11:00-23:59
17,North Spice Co.,Delhi,09:00-23:00
18,Mumbai Masala,Mumbai,10:00-23:00
19,Veggie Delight,Bangalore,09:30-22:00
20,Flavours of India,Delhi,10:00-23:00
21,Namma Oota,Bangalore,08:00-22:00
22,Masala Treat,Hyderabad,09:00-23:30
23,Krishna Bhavan,Chennai,07:00-21:00
24,The Food Cart,Delhi,10:00-23:00
25,Andhra Bites,Hyderabad,10:00-23:00
26,Bengaluru Bites,Bangalore,11:00-23:00
27,Spice Republic,Mumbai,10:00-22:00
28,Chatkara Junction,Delhi,09:00-23:30
29,Coastal Cravings,Chennai,08:00-22:00
30,Hyderabadi Handi,Hyderabad,10:30-23:45
31,The Kulcha House,Delhi,09:00-23:00
32,Bombay Bites,Mumbai,10:00-23:00
33,South Indian Delights,Chennai,07:30-21:30
34,Dilli Darbar,Delhi,09:00-23:00
35,Taste of Bangalore,Bangalore,08:30-22:00
36,Tiffin Factory,Chennai,07:00-21:00
37,Hyderabad Heat,Hyderabad,11:00-23:59
38,Curry Point,Mumbai,10:00-22:00
39,Biryani Adda,Hyderabad,11:00-23:00
40,Spice Culture,Bangalore,10:00-22:30
41,Urban Indian Kitchen,Delhi,09:00-23:00
42,Classic Meals,Mumbai,10:00-22:00
43,Sambar Central,Chennai,07:00-21:00
44,Delhi Food Co.,Delhi,10:00-23:00
45,Bombay Taste Co.,Mumbai,10:00-23:00
46,Tandoori Flames,Delhi,10:00-23:00
47,Curry Club,Bangalore,11:00-23:00
48,The Masala Spot,Hyderabad,10:00-23:00
49,South Spice,Chennai,08:00-22:00
50,Zaika Zone,Delhi,10:00-23:00
